savivaldybe,lat,lon
Pakruojo r. sav.,56.052387350552415,23.87460952429568
Kazlų Rūdos sav.,54.78465342951856,23.464192658129456
Jonavos r. sav.,55.1075080362692,24.308096057214883
Vilniaus m. sav.,54.69254687573134,25.272292840707937
Šiaulių r. sav.,55.98530586454866,23.11607429225495
Vilkaviškio r. sav.,54.595558066803726,22.969803232740865
Kauno m. sav.,54.8993133689362,23.93235852715788
Jurbarko r. sav.,55.18024937202333,22.887818794421868
Anykščių r. sav.,55.55223674868099,25.074155142685363
Marijampolės sav.,54.54619312561857,23.45340097669179
Šalčininkų r. sav.,54.31631469743264,25.273163492505173
Pagėgių sav.,55.14740120814654,21.979245581821598
Utenos r. sav.,55.5114867056881,25.692662712813693
Šiaulių m. sav.,55.90541143213324,23.323952802335423
Kėdainių r. sav.,55.337311242536096,23.936998881221275
Prienų r. sav.,54.63705827829952,23.97933883708329
Plungės r. sav.,55.943473143653875,21.847565839873216
Tauragės r. sav.,55.29359090592596,22.32991900221766
Klaipėdos r. sav.,55.662406453068485,21.4288506041392
Birštono sav.,54.56503890536035,24.021113630397966
Kauno r. sav.,54.96873724613129,23.804924262604455
Zarasų r. sav.,55.70357491375244,26.10597952832003
Druskininkų sav.,54.038482459120495,23.986378468310342
Rietavo sav.,55.72283587253541,21.996703948721844
Pasvalio r. sav.,56.05978714055777,24.338705596532513
Vilniaus r. sav.,54.76146308090489,25.398554811028955
Kretingos r. sav.,55.977667131237205,21.37829222201741
Alytaus r. sav.,54.390524639681175,24.032988478779718
Ukmergės r. sav.,55.26688747904052,24.76020295813197
Rokiškio r. sav.,55.95470701741675,25.537781409733803
Neringos sav.,55.44272124428406,21.076788302582617
Mažeikių r. sav.,56.26704103751562,22.283522600606293
Lazdijų r. sav.,54.17268231870494,23.640428073067763
Elektrėnų sav.,54.747081984752256,24.723645411117502
Ignalinos r. sav.,55.389428507220885,26.313228526842156
Visagino sav.,55.58629963921079,26.490647864058744
Panevėžio m. sav.,55.73041847286545,24.34688042976144
Klaipėdos m. sav.,55.70433013509388,21.15016287218342
Kupiškio r. sav.,55.84388718313659,25.0280914719298
Raseinių r. sav.,55.38443736388613,23.21327349904869
Akmenės r. sav.,56.241508104845764,22.822467326756637
Biržų r. sav.,56.17441528148955,24.81759105222164
Kaišiadorių r. sav.,54.835884991860695,24.4111614412405
Skuodo r. sav.,56.21532242097013,21.683980398592187
Šilalės r. sav.,55.527709541289276,22.2208447598644
Palangos m. sav.,55.968965808597396,21.090669895090997
Joniškio r. sav.,56.2471938273803,23.50284471613067
Kalvarijos sav.,54.37903184691263,23.19631183186767
Radviliškio r. sav.,55.69506851656849,23.635597354803185
Trakų r. sav.,54.550622604298056,24.78208611501897
Švenčionių r. sav.,55.11396241725379,26.01766228735674
Telšių r. sav.,55.93147396264882,22.374975946611173
Kelmės r. sav.,55.67190123293397,22.867070142390077
Alytaus m. sav.,54.401102014299234,24.03625567382058
Varėnos r. sav.,54.17709437853828,24.499326406992928
Molėtų r. sav.,55.22205791360918,25.435594713498745
Širvintų r. sav.,55.01130336045793,24.920539973406143
Panevėžio r. sav.,55.66595616869028,24.35443712006441
Šakių r. sav.,54.94726715521134,23.08116630639953
Šilutės r. sav.,55.37085232350729,21.537473011329258
Alytaus apskritis,54.22184713484522,24.125283895378725
Vilniaus apskritis,54.82121103591245,25.233581312989728
Kauno apskritis,55.07519459915198,23.886841681456204
Klaipėdos apskritis,55.72433295010384,21.478884804740904
Marijampolės apskritis,54.70399930387533,23.17169911313832
Panevėžio apskritis,55.917550701141344,24.801590317518446
Šiaulių apskritis,55.937979020838455,23.307559840910514
Tauragės apskritis,55.30066466505163,22.449119637727513
Telšių apskritis,56.000721712218805,22.16396087487359
Utenos apskritis,55.47908487911733,25.699176773694425
Marijampolės r. sav.,54.70399930387533,23.17169911313832
Lazdyjų r.,54.17268231870494,23.640428073067763